id,city,district
1,Adana,Akdeniz
2,Adıyaman,Güneydoğu Anadolu
3,Afyon,Ege
4,Ağrı,Doğu Anadolu
5,Amasya,Karadeniz
6,Ankara,İç Anadolu
7,Antalya,Akdeniz
8,Artvin,Karadeniz
9,Aydın,Ege
10,Balıkesir,Marmara
11,Bilecik,Karadeniz
12,Bingöl,Doğu Anadolu
13,Bitlis,Doğu Anadolu
14,Bolu,Karadeniz
15,Burdur,Akdeniz
16,Bursa,Marmara
17,Çanakkale,Marmara
18,Çankırı,İç Anadolu
19,Çorum,Karadeniz
20,Denizli,Ege
21,Diyarbakır,Güneydoğu Anadolu
22,Edirne,Marmara
23,Elazığ,Doğu Anadolu
24,Erzincan,Doğu Anadolu
25,Erzurum,Doğu Anadolu
26,Eskişehir,İç Anadolu
27,Gaziantep,Güneydoğu Anadolu
28,Giresun,Karadeniz
29,Gümüşhane,Karadeniz
30,Hakkari,Doğu Anadolu
31,Hatay,Akdeniz
32,Isparta,Akdeniz
33,İçel,Akdeniz
34,İstanbul,Marmara
35,İzmir,Ege
36,Kars,Doğu Anadolu
37,Kastamonu,Karadeniz
38,Kayseri,İç Anadolu
39,Kırklareli,Marmara
40,Kırşehir,İç Anadolu
41,Kocaeli,Marmara
42,Konya,İç Anadolu
43,Kütahya,Ege
44,Malatya,Doğu Anadolu
45,Manisa,Ege
46,K.maraş,Akdeniz
47,Mardin,Güneydoğu Anadolu
48,Muğla,Ege
49,Muş,Doğu Anadolu
50,Nevşehir,İç Anadolu
51,Niğde,İç Anadolu
52,Ordu,Karadeniz
53,Rize,Karadeniz
54,Sakarya,Marmara
55,Samsun,Karadeniz
56,Siirt,Güneydoğu Anadolu
57,Sinop,Karadeniz
58,Sivas,İç Anadolu
59,Tekirdağ,Marmara
60,Tokat,Karadeniz
61,Trabzon,Karadeniz
62,Tunceli,Doğu Anadolu
63,Şanlıurfa,Güneydoğu Anadolu
64,Uşak,Ege
65,Van,Doğu Anadolu
66,Yozgat,İç Anadolu
67,Zonguldak,Karadeniz
68,Aksaray,İç Anadolu
69,Bayburt,Karadeniz
70,Karaman,İç Anadolu
71,Kırıkkale,İç Anadolu
72,Batman,İç Anadolu
73,Şırnak,Doğu Anadolu
74,Bartın,Karadeniz
75,Ardahan,Doğu Anadolu
76,Iğdır,Doğu Anadolu
77,Yalova,Marmara
78,Karabük,Karadeniz
79,Kilis,Akdeniz
80,Osmaniye,Akdeniz
81,Düzce,Karadeniz